"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 24 15:31:38 GMT 2023","Fri Feb 24 15:31:42 GMT 2023","3681","","qa.guru.allure.SelenideListenerTest","","qa.guru.allure.SelenideListenerTest","testIssueSearch","testIssueSearch()",""
"passed","Fri Feb 24 15:31:42 GMT 2023","Fri Feb 24 15:31:45 GMT 2023","3038","","qa.guru.allure.StepAnnotationTest","","qa.guru.allure.StepAnnotationTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Fri Feb 24 15:31:30 GMT 2023","Fri Feb 24 15:31:38 GMT 2023","8435","","qa.guru.allure.LambdaStepTest","","qa.guru.allure.LambdaStepTest","testLambdaStep","testLambdaStep()",""
